# rigidity, px, py, pz, Nparticles, x0, y0, z0
4.365158322401665024e+19 1.145213554771058739e-01 -5.000110363291357385e-03 -9.934082031250000000e-01 1.045434400582766082e-25 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
4.148967268593890816e+18 5.546576997644638851e-01 -8.301039097742821671e-01 -5.729166666666666435e-02 4.928432075847672712e-04 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
1.044648065427020390e+19 1.981243334016166147e-01 -4.449030684378363354e-02 -9.791666666666666297e-01 1.321249643704804605e-07 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
7.292538746498506752e+18 3.988776939333234517e-01 -8.851533266453461835e-01 2.395833333333333148e-01 8.362486511396333350e-06 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
9.504734908014069760e+18 2.913998330449847352e-01 -1.019652116120613738e-01 -9.511515299479166297e-01 4.042164018691700177e-07 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
2.630267991895370547e+19 1.615983497666735325e-01 -3.468907235036757658e-02 -9.862467447916666297e-01 6.020660896131138712e-16 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
8.333333333333335040e+18 3.939439423937673435e-01 -9.190016483261911340e-01 1.562500000000000000e-02 1.620286691819000047e-06 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
4.560054196779557683e+19 6.166840107408119165e-01 -7.802884956554094753e-01 -1.041666666666666574e-01 1.886560609063460557e-27 2.770000000000000018e+00 -2.819999999999999840e+00 2.459999999999999964e+00
8.297934537187781837e+19 6.462586919232199412e-01 -7.585547169909658827e-01 -8.333333333333332871e-02 2.071856822915126737e-48 2.770000000000000018e+00 -2.819999999999999840e+00 2.459999999999999964e+00
3.005661086543544832e+18 4.440257534364520087e-01 -8.957717915336546044e-01 -2.083333333333333218e-02 2.055404046988002290e-03 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
